etID  | Classical Latin | Popular Latin | Popular Latin {GOLD} | Middle Spanish | Output {GOLD}
12     | #sˌekˈun̪d̪um# | *#sˌekˈun̪d̪um# | *#sˌekˈun̪d̪um# {GOLD: #sˌeɡˈun̪d̪o#} | *#sˌeɡˈon̪d̪o# | *#seɡˈon̪d̪o# {GOLD: #sˌeɡˈun̪d̪o#}
13     | #d̪ˈuplum# | *#d̪ˈuplum# | *#d̪ˈuplum# {GOLD: #d̪ˈoblo#} | *#d̪ˈoblo# | *#d̪ˈoblo# {GOLD: #d̪ˈoble#}
14     | #mˈed̪ium# | *#mˈed̪ium# | *#mˈed̪ium# {GOLD: #mˈejo#} | *#mˈeo# | *#mˈeo# {GOLD: #mˈed̪jo#}
15     | #mˌed̪iet̪ˈɑːt̪em# | *#mˌed̪iet̪ˈɑːt̪em# | *#mˌed̪iet̪ˈɑːt̪em# {GOLD: #mˌejt̪ˈad̪#} | *#mˌed̪ˈɑd̪# | *#med̪ˈɑd̪# {GOLD: #mit̪ˈad̪#}
16     | #trˈeːs# | *#trˈˈeːs# | *#trˈˈeːs# {GOLD: #t̪rˈes#} | *#tɾˈes# | *#tɾˈes# {GOLD: #t̪rˈes#}
17     | #t̪ˈert̪ium# | *#t̪ˈert̪ium# | *#t̪ˈert̪ium# {GOLD: #t̪ˈeɾt͡so#} | *#t̪jˈeɾs̪o# | *#t̪jˈeɾθo# {GOLD: #t̪eɾθˈeɾo#}
18     | #trˈiplum# | *#trˈiplum# | *#trˈiplum# {GOLD: #t̪ɾˈiplo#} | *#tɾˈeblo# | *#tɾˈeblo# {GOLD: #t̪ɾˈiplo#}
19     | #trˌiˈentem# | *#trˌiˈen̪tem# | *#trˌiˈen̪tem# {GOLD: #t̪ˌeɾt͡sˈeɾo#} | *#tɾˈen̪te# | *#tɾˈen̪te# {GOLD: #t̪ˈeɾθjo#}
20     | #tˌertiˈɑːrium# | *#tˌertiˈɑːrium# | *#tˌertiˈɑːrium# {GOLD: #t̪ˌeɾt͡sˈeɾo#} | *#tˌiɾtjˈeɾo# | *#tiɾtjˈeɾo# {GOLD: #t̪ˈeɾθjo#}
21     | #kwˈɑt̪t̪uor# | *#kwˈɑt̪t̪uor# | *#kwˈɑt̪t̪uor# {GOLD: #kwˈat̪ɾo#} | *#bˈɑt̪oɾ# | *#bˈɑt̪oɾ# {GOLD: #kwˈat̪ɾo#}
22     | #kwˈɑːrt̪um# | *#kwˈɑːrt̪um# | *#kwˈɑːrt̪um# {GOLD: #kwˈaɾt̪o#} | *#bˈɑɾt̪o# | *#bˈɑɾt̪o# {GOLD: #kwˈaɾt̪o#}
23     | #kwˌɑːt̪ˈern̪um# | *#kwˌɑːt̪ˈern̪um# | *#kwˌɑːt̪ˈern̪um# {GOLD: #kwˌad̪ˈeɾn̪o#} | *#bˌɑd̪jˈeɾn̪o# | *#bɑd̪jˈeɾn̪o# {GOLD: #kwˌad̪ɾˈuple#}
24     | #kwˌɑd̪rˈɑn̪t̪em# | *#kwˌɑd̪rˈɑn̪t̪em# | *#kwˌɑd̪rˈɑn̪t̪em# {GOLD: #kwˌad̪ɾˈan̪t̪e#} | *#bˌɑd̪ɾˈɑn̪t̪e# | *#bɑd̪ɾˈɑn̪t̪e# {GOLD: #kwˌad̪ɾˈan̪t̪e#}
25     | #kwˌɑːrt̪ˈɑːrium# | *#kwˌɑːrt̪ˈɑːrium# | *#kwˌɑːrt̪ˈɑːrium# {GOLD: #kwˌad̪ɾˈan̪t̪e#} | *#bˌɑɾt̪ˈeɾo# | *#bɑɾt̪ˈeɾo# {GOLD: #kwˌad̪ɾˈan̪t̪e#}
26     | #kwˈiːn̪kwe# | *#kwˈiːn̪kwe# | *#kwˈiːn̪kwe# {GOLD: #t͡sˈin̪ko#} | *#bˈin̪be# | *#bˈin̪be# {GOLD: #θˈin̪ko#}
27     | #kwˈiːn̪t̪um# | *#kwˈiːn̪t̪um# | *#kwˈiːn̪t̪um# {GOLD: #kˈin̪t̪o#} | *#bˈin̪t̪o# | *#bˈin̪t̪o# {GOLD: #kˈin̪t̪o#}
28     | #kwˌiːnˈɑːrium# | *#kwˌiːnˈɑːrium# | *#kwˌiːnˈɑːrium# {GOLD: #kˈin̪t̪o#} | *#bˌinˈeɾo# | *#binˈeɾo# {GOLD: #kˈin̪t̪o#}
29     | #sˈeks# | *#sˈeks# | *#sˈeks# {GOLD: #sˈejs#} | *#sˈejs# | *#sˈejs# {GOLD: #sˈejs#}
30     | #sˈekst̪um# | *#sˈekst̪um# | *#sˈekst̪um# {GOLD: #sjˈest̪a#} | *#sjˈest̪o# | *#sjˈest̪o# {GOLD: #sˈekst̪o#}
31     | #sˈekst̪um# | *#sˈekst̪um# | *#sˈekst̪um# {GOLD: #sˈesma#} | *#sjˈest̪o# | *#sjˈest̪o# {GOLD: #sˈekst̪o#}
32     | #sˌekst̪ˈɑːrium# | *#sˌekst̪ˈɑːrium# | *#sˌekst̪ˈɑːrium# {GOLD: #sˌest̪ˈero#} | *#sˌest̪ˈeɾo# | *#sest̪ˈeɾo# {GOLD: #sˈekst̪o#}
33     | #sˈept̪em# | *#sˈept̪em# | *#sˈept̪em# {GOLD: #sjˈet̪e#} | *#sjˈet̪# | *#sjˈet̪# {GOLD: #sjˈet̪e#}
34     | #sˈept̪imum# | *#sˈept̪imum# | *#sˈept̪imum# {GOLD: #sjˈet̪mo#} | *#sjˈet̪mo# | *#sjˈet̪mo# {GOLD: #sˈet̪imo#}
35     | #sˌept̪ˈeːnum# | *#sˌept̪ˈˈeːnum# | *#sˌept̪ˈˈeːnum# {GOLD: #sˌet̪ˈen̪o#} | *#sˌet̪ˈeno# | *#set̪ˈeno# {GOLD: #sˈet̪imo#}
36     | #ˈokt̪oː# | *#ˈokt̪oː# | *#ˈokt̪oː# {GOLD: #ˈot͡ʃo#} | *#ˈot͡ʃo# | *#ˈot͡ʃo# {GOLD: #ˈot͡ʃo#}
37     | #ˌokt̪ˈɑːwum# | *#ˌokt̪ˈɑːwum# | *#ˌokt̪ˈɑːwum# {GOLD: #ˌot͡ʃˈaβo#} | *#ˌot͡ʃˈɑbo# | *#ot͡ʃˈɑbo# {GOLD: #ot͡ʃˈabo#}
38     | #ˌokt̪ˈɑn̪t̪em# | *#ˌokt̪ˈɑn̪t̪em# | *#ˌokt̪ˈɑn̪t̪em# {GOLD: #ˌot͡ʃˈaβo#} | *#ˌot͡ʃˈɑn̪t̪e# | *#ot͡ʃˈɑn̪t̪e# {GOLD: #ot͡ʃˈabo#}
39     | #n̪ˈowem# | *#n̪ˈowem# | *#n̪ˈowem# {GOLD: #n̪wˈeβe#} | *#n̪wˈebe# | *#n̪wˈebe# {GOLD: #n̪wˈebe#}
40     | #n̪ˈoːn̪um# | *#n̪ˈoːn̪um# | *#n̪ˈoːn̪um# {GOLD: #n̪ˈon̪o#} | *#n̪ˈon̪o# | *#n̪ˈon̪o# {GOLD: #n̪ˌobˈen̪o#}
41     | #n̪ˌowˈeːn̪um# | *#n̪ˌowˈˈeːn̪um# | *#n̪ˌowˈˈeːn̪um# {GOLD: #n̪ˌoβˈen̪o#} | *#n̪ˌobˈen̪o# | *#n̪obˈen̪o# {GOLD: #n̪ˌobˈeno#}
42     | #d̪ˈekem# | *#d̪ˈekem# | *#d̪ˈekem# {GOLD: #djˈet͡s#} | *#d̪jˈes̪# | *#d̪jˈeθ# {GOLD: #djˈeθ#}
43     | #d̪ˈekimum# | *#d̪ˈekimum# | *#d̪ˈekimum# {GOLD: #d̪jˈed͡zmo#} | *#d̪jˈes̪mo# | *#d̪jˈeθmo# {GOLD: #d̪eθˈen̪o#}
44     | #d̪ˌeːkˈeːnum# | *#d̪ˌeːkˈˈeːnum# | *#d̪ˌeːkˈˈeːnum# {GOLD: #d̪ˌet͡sˈen̪o#} | *#d̪ˌes̪ˈeno# | *#d̪eθˈeno# {GOLD: #d̪eθˈen̪o#}
45     | #d̪ˌeːn̪ˈɑːrium# | *#d̪ˌeːn̪ˈɑːrium# | *#d̪ˌeːn̪ˈɑːrium# {GOLD: #d̪ˌin̪ˈeɾo#} | *#d̪ˌen̪ˈeɾo# | *#d̪en̪ˈeɾo# {GOLD: #d̪eθˈen̪o#}
46     | #ˈun̪d̪ekim# | *#ˈun̪d̪ekim# | *#ˈun̪d̪ekim# {GOLD: #ˈon̪d͡ze#} | *#ˈon̪s̪e# | *#ˈon̪θe# {GOLD: #ˈon̪θe#}
47     | #d̪uˈod̪ekim# | *#d̪uˈod̪ekim# | *#d̪uˈod̪ekim# {GOLD: #d̪ˈod͡ze#} | *#d̪wˈes̪# | *#d̪wˈeθ# {GOLD: #d̪ˈoθe#}
48     | #t̪rˈeːd̪ekim# | *#t̪rˈˈeːd̪ekim# | *#t̪rˈˈeːd̪ekim# {GOLD: #t̪ɾˈed͡ze#} | *#t̪ɾˈes̪# | *#t̪ɾˈeθ# {GOLD: #t̪ɾˈeθe#}
49     | #kwˌɑt̪t̪uˈord̪ekim# | *#kwˌɑt̪t̪uˈord̪ekim# | *#kwˌɑt̪t̪uˈord̪ekim# {GOLD: #kˌat̪ˈoɾd͡ze#} | *#bˌɑt̪wˈeɾd̪es̪# | *#bɑt̪wˈeɾd̪eθ# {GOLD: #kat̪ˈoɾθe#}
50     | #kwˈiːn̪d̪ekim# | *#kwˈiːn̪d̪ekim# | *#kwˈiːn̪d̪ekim# {GOLD: #kˈin̪d͡ze#} | *#bˈin̪s̪e# | *#bˈin̪θe# {GOLD: #kˈin̪θe#}
51     | #sˈeːd̪ekim# | *#sˈˈeːd̪ekim# | *#sˈˈeːd̪ekim# {GOLD: #sˈed͡ze#} | *#sˈes̪# | *#sˈeθ# {GOLD: #d̪jeθisˈejs#}
52     | #d̪ˌeːkiet̪sˈept̪em# | *#d̪ˌeːkiet̪sˈept̪em# | *#d̪ˌeːkiet̪sˈept̪em# {GOLD: #d̪jet͡sisjˈet̪e#} | *#d̪ˌes̪jˈet̪# | *#d̪eθjˈet̪# {GOLD: #d̪jeθisjˈet̪e#}
53     | #dˌeːkietˈoktoː# | *#dˌeːkietˈoktoː# | *#dˌeːkietˈoktoː# {GOLD: #d̪it͡sˈot͡ʃo#} | *#dˌes̪wˈeto# | *#deθwˈeto# {GOLD: #d̪jeθˈot͡ʃo#}
54     | #ˌuːndeːwˌiːɡˈinti# | *#ˌuːn̪deːwˌiːɡˈin̪ti# | *#ˌuːn̪deːwˌiːɡˈin̪ti# {GOLD: #d̪id͡zen̪wef#} | *#ˌun̪dbˌeˈin̪te# | *#un̪dbeˈin̪te# {GOLD: #d̪jeθin̪wˈebe#}
55     | #wˌiːɡˈin̪t̪i# | *#wˌiːɡˈin̪t̪i# | *#wˌiːɡˈin̪t̪i# {GOLD: #βˈein̪t̪e#} | *#bˌeˈin̪t̪e# | *#beˈin̪t̪e# {GOLD: #bˈein̪t̪e#}
56     | #wˌiːkˈeːn̪simum# | *#wˌiːkˈˈeːn̪simum# | *#wˌiːkˈˈeːn̪simum# {GOLD: #βˌein̪t̪eˈaβo#} | *#bˌis̪ˈesmo# | *#biθˈesmo# {GOLD: #bein̪t̪eˈabo#}
57     | #t̪ˈrˌiːɡˈin̪t̪ɑ# | *#t̪ˈrˌiːɡˈin̪t̪ɑ# | *#t̪ˈrˌiːɡˈin̪t̪ɑ# {GOLD: #t̪ɾˌejˈen̪t̪a#} | *#t̪ˈɾˌeˈin̪t̪ɑ# | *#t̪ˈɾeˈin̪t̪ɑ# {GOLD: #t̪ɾˈein̪t̪a#}
58     | #t̪rˌiːkˈeːsimum# | *#t̪rˌiːkˈˈeːsimum# | *#t̪rˌiːkˈˈeːsimum# {GOLD: #t̪ɾˌein̪t̪eˈaβo#} | *#t̪ɾˌis̪ˈesmo# | *#t̪ɾiθˈesmo# {GOLD: #t̪ɾein̪t̪eˈabo#}
59     | #kwˌɑd̪rɑːɡˈin̪t̪ɑm# | *#kwˌɑd̪rɑːɡˈin̪t̪ɑm# | *#kwˌɑd̪rɑːɡˈin̪t̪ɑm# {GOLD: #kwˌaɾaˈen̪t̪a#} | *#bˌɑd̪ɾɑˈen̪t̪ɑ# | *#bɑd̪ɾɑˈen̪t̪ɑ# {GOLD: #kwaɾˈen̪t̪a#}
60     | #kwˌɑd̪rɑːɡˈeːsimɑ# | *#kwˌɑd̪rɑːɡˈˈeːsimɑ# | *#kwˌɑd̪rɑːɡˈˈeːsimɑ# {GOLD: #kwˌaɾˌan̪t̪ˈaβo#} | *#bˌɑd̪ɾɑˈesmɑ# | *#bɑd̪ɾɑˈesmɑ# {GOLD: #kwaɾan̪t̪ˈabo#}
61     | #kwˌiːn̪kwɑːɡˈin̪t̪ɑm# | *#kwˌiːn̪kwɑːɡˈin̪t̪ɑm# | *#kwˌiːn̪kwɑːɡˈin̪t̪ɑm# {GOLD: #t͡sˌin̪kwaˈen̪t̪a#} | *#bˌin̪bɑˈen̪t̪ɑ# | *#bin̪bɑˈen̪t̪ɑ# {GOLD: #θin̪kwˈen̪t̪a#}
62     | #kwˌiːn̪kwɑːɡˈeːsimɑ# | *#kwˌiːn̪kwɑːɡˈˈeːsimɑ# | *#kwˌiːn̪kwɑːɡˈˈeːsimɑ# {GOLD: >*} | *#bˌin̪bɑˈesmɑ# | *#bin̪bɑˈesmɑ# {GOLD: #θin̪kwen̪t̪ˈabo#}
63     | #sˌeksɑːɡˈin̪t̪ɑm# | *#sˌeksɑːɡˈin̪t̪ɑm# | *#sˌeksɑːɡˈin̪t̪ɑm# {GOLD: #sˌesaˈen̪t̪o#} | *#sˌeʃɑˈen̪t̪ɑ# | *#sexɑˈen̪t̪ɑ# {GOLD: #sesˈen̪t̪o#}
64     | #sˌeksɑːɡˈeːsimum# | *#sˌeksɑːɡˈˈeːsimum# | *#sˌeksɑːɡˈˈeːsimum# {GOLD: >*} | *#sˌeʃɑˈesmo# | *#sexɑˈesmo# {GOLD: #sesen̪t̪ˈabo#}
65     | #sˌept̪uɑːɡˈin̪t̪ɑm# | *#sˌept̪uɑːɡˈin̪t̪ɑm# | *#sˌept̪uɑːɡˈin̪t̪ɑm# {GOLD: #sˌet̪aˈen̪t̪a#} | *#sˌewt̪ɑˈen̪t̪ɑ# | *#sewt̪ɑˈen̪t̪ɑ# {GOLD: #set̪ˈen̪t̪a#}
66     | #sˌept̪uɑːɡˈeːsimum# | *#sˌept̪uɑːɡˈˈeːsimum# | *#sˌept̪uɑːɡˈˈeːsimum# {GOLD: >*} | *#sˌewt̪ɑˈesmo# | *#sewt̪ɑˈesmo# {GOLD: #set̪en̪t̪ˈabo#}
67     | #ˌokt̪ɑːɡˈin̪t̪ɑm# | *#ˌokt̪ɑːɡˈin̪t̪ɑm# | *#ˌokt̪ɑːɡˈin̪t̪ɑm# {GOLD: #ˌot͡ʃaˈen̪t̪a#} | *#ˌot͡ʃɑˈen̪t̪ɑ# | *#ot͡ʃɑˈen̪t̪ɑ# {GOLD: #ot͡ʃˈen̪t̪a#}
68     | #ˌopt̪oːɡˈˈeːsimum# | *#ˌopt̪oːɡˈˈeːsimum# | *#ˌopt̪oːɡˈˈeːsimum# {GOLD: >*} | *#ˌot̪wˈesmo# | *#ot̪wˈesmo# {GOLD: #ot͡ʃen̪t̪ˈabo#}
69     | #n̪ˌoːn̪ɑːɡˈin̪t̪ɑm# | *#n̪ˌoːn̪ɑːɡˈin̪t̪ɑm# | *#n̪ˌoːn̪ɑːɡˈin̪t̪ɑm# {GOLD: #n̪ˌoβaˈen̪t̪a#} | *#n̪ˌon̪ɑˈen̪t̪ɑ# | *#n̪on̪ɑˈen̪t̪ɑ# {GOLD: #n̪obˈen̪t̪a#}
70     | #n̪ˌoːn̪ɑːɡˈˈeːsimum# | *#n̪ˌoːn̪ɑːɡˈˈeːsimum# | *#n̪ˌoːn̪ɑːɡˈˈeːsimum# {GOLD: >*} | *#n̪ˌon̪ɑˈesmo# | *#n̪on̪ɑˈesmo# {GOLD: #n̪oben̪t̪ˈabo#}
71     | #kˈen̪t̪um# | *#kˈen̪t̪um# | *#kˈen̪t̪um# {GOLD: #t͡sjˈen̪t̪o#} | *#s̪jˈen̪t̪o# | *#θjˈen̪t̪o# {GOLD: #θjˈen̪t̪o#}
72     | #kˌen̪t̪ˈˈeːsimum# | *#kˌen̪t̪ˈˈeːsimum# | *#kˌen̪t̪ˈˈeːsimum# {GOLD: #t͡sˌen̪t̪ˈaβo#} | *#s̪ˌen̪t̪ˈesmo# | *#θen̪t̪ˈesmo# {GOLD: #θen̪t̪ˈabo#}
73     | #kˌen̪t̪ˈˈeːn̪um# | *#kˌen̪t̪ˈˈeːn̪um# | *#kˌen̪t̪ˈˈeːn̪um# {GOLD: #t͡sˌen̪t̪ˈen̪o#} | *#s̪ˌen̪t̪ˈen̪o# | *#θen̪t̪ˈen̪o# {GOLD: #θen̪t̪ˈeno#}
74     | #mˈiːllem# | *#mˈiːllem# | *#mˈiːllem# {GOLD: #mˈil#} | *#mˈiʎe# | *#mˈiʝe# {GOLD: #mˈil#}
75     | #mˌiːllˈˈeːsimum# | *#mˌiːllˈˈeːsimum# | *#mˌiːllˈˈeːsimum# {GOLD: >*} | *#mˌiʎˈesmo# | *#miʝˈesmo# {GOLD: #milˈesimo#}
